Style_id,Yarn_ID,BOM_Percent,unit
FF 10006/0001,,0,lbs
FF 10006/0001,10024,0.33,lbs
FF 10006/0001,11697,0.01,lbs
FF 10006/0001,11759,0.02,lbs
FF 10006/0001,13565,0.1,lbs
FF 10006/0001,14187,0.25,lbs
FF 10006/0001,14187,0.26,lbs
FF 10006/0001A,,0,lbs
FF 10006/0001A,11697,0.01,lbs
FF 10006/0001A,11759,0.02,lbs
FF 10006/0001A,13565,0.1,lbs
FF 10006/0001A,14187,0.25,lbs
FF 10006/0001A,14187,0.26,lbs
FF 10006/0001A,18343,0.33,lbs
FF 10006/0002,,0,lbs
FF 10006/0002,10024,0.33,lbs
FF 10006/0002,11697,0.01,lbs
FF 10006/0002,11759,0.02,lbs
FF 10006/0002,13407,0.1,lbs
FF 10006/0002,14191,0.25,lbs
FF 10006/0002,14191,0.26,lbs
FF 10006/0003,,0,lbs
FF 10006/0003,10024,0.33,lbs
FF 10006/0003,11697,0.01,lbs
FF 10006/0003,11759,0.02,lbs
FF 10006/0003,13407,0.1,lbs
FF 10006/0003,13527,0.25,lbs
FF 10006/0003,13527,0.26,lbs
FF 10006/0003A,,0,lbs
FF 10006/0003A,11697,0.01,lbs
FF 10006/0003A,11759,0.02,lbs
FF 10006/0003A,13407,0.1,lbs
FF 10006/0003A,13527,0.25,lbs
FF 10006/0003A,13527,0.26,lbs
FF 10006/0003A,18343,0.33,lbs
FF 10006/0004,,0,lbs
FF 10006/0004,10024,0.33,lbs
FF 10006/0004,11697,0.01,lbs
FF 10006/0004,11759,0.02,lbs
FF 10006/0004,13258,0.25,lbs
FF 10006/0004,13258,0.26,lbs
FF 10006/0004,13620,0.1,lbs
FF 10006/0004A,,0,lbs
FF 10006/0004A,11697,0.01,lbs
FF 10006/0004A,11759,0.02,lbs
FF 10006/0004A,13258,0.25,lbs
FF 10006/0004A,13258,0.26,lbs
FF 10006/0004A,13620,0.1,lbs
FF 10006/0004A,18343,0.33,lbs
1000B/AA,,0,lbs
1000B/AA,8884,0.43,lbs
1000B/AA,9519,0.09,lbs
1000B/AA,9810,0.23,lbs
1000B/AT,,0,lbs
1000B/AT,8884,0.43,lbs
1000B/AT,8985,0.23,lbs
1000B/AT,9519,0.09,lbs
1000B/WA,,0,lbs
1000B/WA,4016,0.43,lbs
1000B/WA,9519,0.09,lbs
1000B/WA,9810,0.23,lbs
1028/0,,0,lbs
1028/0,14214,0.91,lbs
1028/0,8665,0.08,lbs
1028/582L,,0,lbs
1028/582L,14214,0.91,lbs
1028/582L,14679,0.08,lbs
1028/C,,0,lbs
1028/C,14214,0.91,lbs
1028/C,14822,0.08,lbs
107714/3001A,,0,lbs
107714/3001A,13554,0.28,lbs
107714/3001A,13564,0.71,lbs
107714/3001B,,0,lbs
107714/3001B,13554,0.28,lbs
107714/3001B,13564,0.71,lbs
107716/3800A,,0,lbs
107716/3800A,13554,0.3,lbs
107716/3800A,13555,0.13,lbs
107716/3800A,13556,0.56,lbs
107839/3326B,,0,lbs
107839/3326B,13553,0.67,lbs
107839/3326B,14458,0.32,lbs
107839/3326E,,0,lbs
107839/3326E,13553,0.67,lbs
107839/3326E,14458,0.32,lbs
116 CASPER KD/0,,0,lbs
116 CASPER KD/0,18603,0.2,lbs
116 CASPER KD/0,18603,0.27,lbs
116 CASPER KD/0,18693,0.31,lbs
12042/02D,,0,lbs
12042/02D,13567,0.1,lbs
12042/02D,13737,0.54,lbs
12042/02D,14279,0.29,lbs
12042/02D,14280,0.01,lbs
12042/02D,18062,0.02,lbs
12042EE/02,,0,lbs
12042EE/02,13567,0.1,lbs
12042EE/02,13737,0.54,lbs
12042EE/02,14279,0.3,lbs
12042EE/02,14280,0.01,lbs
12042EE/02,18062,0.02,lbs
12130/01W,,0,lbs
12130/01W,13258,0.6,lbs
12130/01W,13407,0.16,lbs
12130/01W,14279,0.17,lbs
12130/01W,14280,0.02,lbs
12130/01W,18062,0.03,lbs
12130/01X,,0,lbs
12130/01X,13258,0.6,lbs
12130/01X,13567,0.16,lbs
12130/01X,14279,0.17,lbs
12130/01X,14280,0.02,lbs
