Yarn,Supplier,Description,Color,Inventory,Total Demand,Total Receipt,Balance,Past Due Receipts,,Demand This Week,Receipts This Week,Balance This Week,,Demand Week 31,Receipts Week 31,Balance Week 31,,Demand Week 32,Receipts Week 32,Balance Week 32,,Demand Week 33,Receipts Week 33,Balance Week 33,,Demand Week 34,Receipts Week 34,Balance Week 34,,Demand Week 35,Receipts Week 35,Balance Week 35,,Demand Week 36,Receipts Week 36,Balance Week 36,,Demand Week 37,Receipts Week 37,Balance Week 37,,Demand Week 38,Receipts Week 38,Balance Week 38,,Demand Later,Receipts Later,Balance Later
11896,UNIFI,1/750/192 100% Polyester BLK SATUR 56BXUV ,BLK SATUR,"1,499.1","12,540.9","19,755.6","8,713.8","-1,244.4",,"3,672.3",0.0,"-2,173.2",,0.0,"3,000.0",826.8,,0.0,"3,000.0","3,826.8",,0.0,"3,000.0","6,826.8",,0.0,"3,000.0","9,826.8",,0.0,"3,000.0","12,826.8",,0.0,"3,000.0","15,826.8",,0.0,"3,000.0","18,826.8",,0.0,0.0,"18,826.8",,"8,868.6",0.0,"9,958.2"
19004,PARKDALE YARN MILLS,24/1 96/4 Polyester Black 4% MVS,Black 4%,"-1,531.4",0.0,"20,000.0","18,468.6",0.0,,0.0,0.0,"-1,531.4",,0.0,0.0,"-1,531.4",,0.0,0.0,"-1,531.4",,0.0,0.0,"-1,531.4",,0.0,0.0,"-1,531.4",,0.0,"5,000.0","3,468.6",,0.0,"5,000.0","8,468.6",,0.0,"5,000.0","13,468.6",,0.0,"5,000.0","18,468.6",,0.0,0.0,"18,468.6"
18870,BUHLER QUALITY YARNS CORP,10/2 PPS/Glass Natural ,Natural,"-1,394.5","13,323.9","14,000.0",-718.5,"13,000.0",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,0.0,0.0,"-1,394.5",,"13,323.9","1,000.0","-13,718.5"
18868,FERR,30/1 60/40 Recycled Polyester/Recycled Cotton Anil ,Anil,"-1,115.5",0.0,0.0,"-1,115.5",0.0,,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5",,0.0,0.0,"-1,115.5"
18771,CS AMERICA,1/150/96 100% Polyester Semi Dull ,Semi Dull,-620.9,"6,691.3",0.0,"-7,312.3",0.0,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,0.0,0.0,-620.9,,"6,691.3",0.0,"-7,312.3"
18708,UNIFI,1/150/34 100% Polyester Natural Set - Sorbtek ,Natural,379.7,"4,814.3","4,864.3",429.8,0.3,,763.8,0.0,-384.1,,763.8,"2,432.0","1,284.1",,763.8,"2,432.0","2,952.3",,763.8,0.0,"2,188.5",,763.8,0.0,"1,424.7",,763.8,0.0,660.9,,231.4,0.0,429.5,,0.0,0.0,429.5,,0.0,0.0,429.5,,0.0,0.0,429.5
18713,MINIFIBERS,1/150/50 100% Polyethylene White MUST HAVE APPROVAL TO USE THIS YARN ,White,109.1,474.0,0.0,-364.9,0.0,,474.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9,,0.0,0.0,-364.9
14415,CREORA/US Hyosung,1/70 100% Spandex Clear H300 ,Clear,-323.7,964.7,850.0,-438.4,850.0,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,0.0,0.0,-323.7,,964.7,0.0,"-1,288.4"
9863,UNIFI,1/2150/464 100% Polyester BLK/DOL 7-258 ,BLK/DOL,"3,648.4","13,430.7","23,396.0","13,613.7",396.0,,"3,908.1",0.0,-259.7,,0.0,"3,500.0","3,240.3",,0.0,"3,500.0","6,740.3",,0.0,"4,000.0","10,740.3",,0.0,"4,000.0","14,740.3",,0.0,"4,000.0","18,740.3",,0.0,"4,000.0","22,740.3",,0.0,0.0,"22,740.3",,0.0,0.0,"22,740.3",,"9,522.7",0.0,"13,217.7"
18865,UNIFI,1/70/34 100% Polyester Natural Virgin 56T ,Natural,-4.1,"1,790.7",0.0,"-1,794.8",0.0,,16.0,0.0,-20.1,,0.0,0.0,-20.1,,239.7,0.0,-259.8,,239.7,0.0,-499.5,,239.7,0.0,-739.2,,316.7,0.0,"-1,055.9",,239.7,0.0,"-1,295.6",,211.5,0.0,"-1,507.1",,0.0,0.0,"-1,507.1",,287.7,0.0,"-1,794.8"
13560,The LYCRA Company LLC,1/70 100% Lycra Semi Bright 582L ,Semi Bright,99.3,162.0,800.0,737.3,0.0,,110.8,0.0,-11.5,,33.0,0.0,-44.5,,0.0,0.0,-44.5,,0.0,0.0,-44.5,,0.0,800.0,755.5,,0.0,0.0,755.5,,0.0,0.0,755.5,,0.0,0.0,755.5,,0.0,0.0,755.5,,18.2,0.0,737.3
19089,FILSPEC Yarns,26/1 75/15/10 Modacrylic/Rayon/Nylon Natural Protex C - FR RS,Natural,0.0,"4,796.1","5,000.0",203.9,"5,000.0",,0.0,0.0,0.0,,296.1,0.0,-296.1,,0.0,0.0,-296.1,,0.0,0.0,-296.1,,"3,237.3",0.0,"-3,533.4",,"1,262.7",0.0,"-4,796.1",,0.0,0.0,"-4,796.1",,0.0,0.0,"-4,796.1",,0.0,0.0,"-4,796.1",,0.0,0.0,"-4,796.1"
19087,BUHLER QUALITY YARNS CORP,21/1 75/15/10 Protex F/Tencel G100/Nylon Natural ,Natural,0.0,0.0,270.0,270.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,270.0,270.0,,0.0,0.0,270.0,,0.0,0.0,270.0,,0.0,0.0,270.0
19067,Marionette,1/150/48 100% Polyester Bright Trilobal Flat ,Bright,0.0,0.0,"44,000.0","44,000.0",0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"44,000.0","44,000.0"
19009,DECA GLOBAL,20/1 60/40 Combed Cotton/Polyester Natural RS,Natural,0.0,0.0,"8,000.0","8,000.0","8,000.0",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
19082,MOVEINA,27/1 100% Kevlar Black Z RS,Black,0.0,747.2,700.0,-47.2,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,700.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,747.2,0.0,-47.2
19025,DECA GLOBAL,1/150/36 100% Polyester Orange 3373-02 ,Orange,0.0,0.0,"7,000.0","7,000.0","7,000.0",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
19070,FILSPEC Yarns,46/1 100% Nomex Natural Z RS,Natural,0.0,"2,072.0","2,000.0",-72.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,"1,046.8","2,000.0",953.2,,"1,025.2",0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0
18859,NANY,1/70/36 100% Polyester Semi Dull ,Semi Dull,0.0,0.0,"3,200.0","3,200.0","3,200.0",,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
19088,UNIFI,1/70/68 100% Polyester Black AMY - Sorbtek ,Black,0.0,0.0,"2,500.0","2,500.0",0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,"2,500.0","2,500.0",,0.0,0.0,"2,500.0",,0.0,0.0,"2,500.0",,0.0,0.0,"2,500.0",,0.0,0.0,"2,500.0"
19069,FILSPEC Yarns,46/1 100% Nomex Natural S RS,Natural,0.0,"2,072.0","2,000.0",-72.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,"1,046.8","2,000.0",953.2,,"1,025.2",0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0,,0.0,0.0,-72.0
19081,MOVEINA,27/1 100% Kevlar Black S RS,Black,0.0,747.2,700.0,-47.2,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,700.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,0.0,0.0,700.0,,747.2,0.0,-47.2
14895,SUPREME CORPORATION,1/200/74 96/4 Polyester/Carbonized Nylon Grey Z ,Grey,3.6,1.4,0.0,2.2,0.0,,0.0,0.0,3.6,,0.0,0.0,3.6,,0.0,0.0,3.6,,0.0,0.0,3.6,,0.0,0.0,3.6,,0.0,0.0,3.6,,0.0,0.0,3.6,,0.0,0.0,3.6,,0.0,0.0,3.6,,1.4,0.0,2.2
12066,NOBLE BIOMATERIALS INC,1/70/34 100% Nylon Silver XSTATI ,Silver,13.0,1.0,0.0,12.0,0.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,0.0,0.0,13.0,,1.0,0.0,12.0
18654,BUHLER QUALITY YARNS CORP,20/1 85/15 Modacrylic/Tencel Natural MVS,Natural,31.0,0.0,"1,000.0","1,031.0","1,000.0",,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0,,0.0,0.0,31.0
19066,UNIFI,1/300/68 100% Polyester Natural Set ,Natural,43.4,"5,821.6","5,494.9",-283.3,"5,494.9",,0.0,0.0,43.4,,0.0,0.0,43.4,,907.8,0.0,-864.4,,907.8,0.0,"-1,772.3",,907.8,0.0,"-2,680.1",,907.8,0.0,"-3,587.9",,907.8,0.0,"-4,495.8",,800.8,0.0,"-5,296.6",,0.0,0.0,"-5,296.6",,481.6,0.0,"-5,778.2"
14223,SPUNLAB,30/1 85/15 Modacrylic/Tencel Natural PCG100 RS,Natural,44.1,1.3,0.0,42.8,0.0,,0.0,0.0,44.1,,0.0,0.0,44.1,,0.0,0.0,44.1,,0.0,0.0,44.1,,0.0,0.0,44.1,,0.0,0.0,44.1,,0.0,0.0,44.1,,0.0,0.0,44.1,,0.0,0.0,44.1,,1.3,0.0,42.8
19033,VERTEX,1/300/120 100% Polyethylene Black ,Black,64.0,0.0,"3,000.0","3,064.0","3,000.0",,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0,,0.0,0.0,64.0
18888,"EDPA USA, LLC",30/1 50/50 Polyester/Cotton Black 65% ,Black 65%,102.0,0.0,0.0,102.0,0.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0,,0.0,0.0,102.0
18565,MERIDIAN SPECIALTY YARN GROUP INC,2/450/288 100% Polyester Mink ,Mink,275.4,171.0,0.0,104.4,0.0,,171.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4,,0.0,0.0,104.4
12047,OMARA TEXTILES,1/150/36 100%L44 Polyester Silver FLTBRT ,Silver,104.6,793.0,"3,000.0","2,311.6","3,000.0",,0.0,0.0,104.6,,182.6,0.0,-78.0,,182.6,0.0,-260.6,,182.6,0.0,-443.1,,182.6,0.0,-625.7,,62.7,0.0,-688.4,,0.0,0.0,-688.4,,0.0,0.0,-688.4,,0.0,0.0,-688.4,,0.0,0.0,-688.4
14734,XLANCE,1/83 100% XLANCE Natural ELASTOLEFIN ,Natural,118.2,105.6,0.0,12.6,0.0,,0.0,0.0,118.2,,0.0,0.0,118.2,,0.0,0.0,118.2,,0.0,0.0,118.2,,0.0,0.0,118.2,,0.0,0.0,118.2,,0.0,0.0,118.2,,0.0,0.0,118.2,,0.0,0.0,118.2,,105.6,0.0,12.6
19031,BUHLER QUALITY YARNS CORP,36/1 45/40/15 Modacrylic/Lenzing FR/Twaron Black MVS,Black,120.3,6.4,0.0,113.9,0.0,,0.0,0.0,120.3,,0.0,0.0,120.3,,0.0,0.0,120.3,,0.0,0.0,120.3,,0.0,0.0,120.3,,0.0,0.0,120.3,,0.0,0.0,120.3,,0.0,0.0,120.3,,0.0,0.0,120.3,,6.4,0.0,113.9
10995,UNIFI,1/2150/408 100% Polyester SOLID BLK ,SOLID BLK,646.6,521.1,0.0,125.5,0.0,,521.1,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5,,0.0,0.0,125.5
11648,SAPONA,1/40/34 100% Nylon Semi Dull STR ,Semi Dull,128.8,0.0,0.0,128.8,0.0,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8,,0.0,0.0,128.8
19078,COMTRADE,40/1 100% Combed Cotton Natural RS,Natural,145.3,67.6,0.0,77.7,0.0,,0.0,0.0,145.3,,0.0,0.0,145.3,,0.0,0.0,145.3,,0.0,0.0,145.3,,0.0,0.0,145.3,,0.0,0.0,145.3,,0.0,0.0,145.3,,0.0,0.0,145.3,,0.0,0.0,145.3,,67.6,0.0,77.7
18629,R BELDA LLORENS,30/1 50/50 Polyester/Reclaimed Cotton Evening Haze recycled poly/recycled cotton DVE ,Evening Haze,165.8,151.4,0.0,14.4,0.0,,0.0,0.0,165.8,,0.0,0.0,165.8,,0.0,0.0,165.8,,0.0,0.0,165.8,,0.0,0.0,165.8,,0.0,0.0,165.8,,0.0,0.0,165.8,,0.0,0.0,165.8,,0.0,0.0,165.8,,151.4,0.0,14.4
11409,TOPL,1/20/12 100% Polyester Semi Dull ,Semi Dull,166.5,1.5,0.0,165.0,0.0,,0.0,0.0,166.5,,0.0,0.0,166.5,,0.0,0.0,166.5,,0.0,0.0,166.5,,0.0,0.0,166.5,,0.0,0.0,166.5,,0.0,0.0,166.5,,0.0,0.0,166.5,,0.0,0.0,166.5,,1.5,0.0,165.0
19071,DRAKE EXTRUSION INC,1/70/36 100% Polypropylene Black PCR with Hindered Amine Light Stablilizer ,Black,0.0,0.0,168.0,168.0,0.0,,0.0,168.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0,,0.0,0.0,168.0
11505,UNIFI,1/2000/408 100% Polyester BLK/BRN SATUR ,BLK/BRN,496.4,325.8,0.0,170.6,0.0,,325.8,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6,,0.0,0.0,170.6
18958,SAPONA,1/150/34 100% Polyester Ruby Red Solution dyed - Set No Tacks ,Ruby Red,354.2,172.6,0.0,181.6,0.0,,172.6,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6,,0.0,0.0,181.6
