Style,Yarn,Percentage,This Week,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Later,Total
180001/20ST2,18320,13.1,336.9,336.9,336.9,336.9,336.9,336.9,102.1,0.0,0.0,0.0,"2,123.5"
180001/20ST2,18707,57.2,"1,471.0","1,471.0","1,471.0","1,471.0","1,471.0","1,471.0",445.7,0.0,0.0,0.0,"9,271.9"
180001/20ST2,18708,29.7,763.8,763.8,763.8,763.8,763.8,763.8,231.4,0.0,0.0,0.0,"4,814.3"
1853/L,18669,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,078.7","4,078.7"
1874/0,18770,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,562.4","2,562.4"
1874/B,19057,100,"3,704.6",246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,950.6"
1922/LC,19057,100,"3,665.7",334.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,000.0"
1SM0470/30G,9863,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9,522.7","9,522.7"
1SM0470/30G,11896,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7,697.3","7,697.3"
2027-2.5/MVS,18774,29.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-2.5/MVS,19057,70.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-2.5/MVS1,18770,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,641.0","4,641.0"
2027-2.5/MVS1,18774,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,960.7","1,960.7"
205FLX2006/B,18696,53.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"15,441.1","15,441.1"
205FLX2006/B,18870,46.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"13,323.9","13,323.9"
2094/CC,14415,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.7,964.7
2094/CC,18771,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,691.3","6,691.3"
2140390/I,18334,88.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140390/I,18928,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140391/I,18334,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140391/I,18928,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140395/I,18334,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,108.0
2140395/I,18928,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0
3009OW/0,18019,100,0.0,"6,015.2","6,015.2","6,015.2","2,299.4",0.0,0.0,0.0,0.0,0.0,"20,344.9"
