Style #,Order #,Customer,Roll #,Vendor Roll #,Rack,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Received
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",004050801,4050801,302,57.9,22.4,0,0,4/7/2020
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",004050802,4050802,302,98.8,44,0,0,4/7/2020
BK8322/0,D40508,"CFAB - CREATIVE FABRIC SERVICE, LLC",004050803,4050803,302,107.9,46.9,0,0,4/7/2020
BK8321OW/0,D40539,"CFAB - CREATIVE FABRIC SERVICE, LLC",004053901,4053901,302,62,29.2,0,0,4/15/2020
BK8321OW/0,D40656,"CFAB - CREATIVE FABRIC SERVICE, LLC",204065601,4065601,SR5,64,29.8,0,0,6/17/2025
BK8321OW/0,D40656,"CFAB - CREATIVE FABRIC SERVICE, LLC",004065602,4065602,302,63,31,0,0,4/15/2020
BK8187-B2/0,D40679,VOOR - VOORMI LLC,804067908,4067907,216L,78,21.7,0,0,5/12/2020
BK8187-B2/0,D40679,VOOR - VOORMI LLC,804067914,4067916,216L,172,45.6,0,0,5/12/2020
BK8187-C0/0,D40680,VOOR - VOORMI LLC,804068017,4016,216L,97,29.4,0,0,5/15/2020
BK8187-C0/0,D40680,VOOR - VOORMI LLC,804068021,4020,216L,124,34.2,0,0,5/15/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078516,4078516,SL134,73.8,42.7,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078517,4078517,SL134,69.6,42,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078518,4078518,SL134,69,44.5,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078519,4078519,SL134,78.4,50.3,0,0,4/24/2020
BK8328/CC,D40785,"CFAB - CREATIVE FABRIC SERVICE, LLC",004078520,4078520,SL134,65.3,39.3,0,0,4/24/2020
BK8169/0,D40811,VOOR - VOORMI LLC,204081108,4081101,Y3,22,10.8,0,0,2/14/2025
