Style #,Order #,Roll #,Vendor Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Processor,Received
1SM0470-30G/ALTUS,D69123,006912306,6912306,66.8,100.7,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69123,006912301,6912301,66.8,101.7,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69092,006909206,6909206,28.1,42.1,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69092,006909207,6909207,69.7,103.8,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69092,006909205,6909205,23.2,34.5,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69092,006909204,6909204,66.7,102.0,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69092,006909203,6909203,62.1,95.5,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69092,006909202,6909202,67.9,101.1,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69092,006909201,6909201,64.9,97.3,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69150,006915007,6915007,67.1,102.0,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69150,006915006,6915006,65.5,101.9,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69150,006915005,6915005,65.7,100.3,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69150,006915004,6915004,67.3,101.6,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69150,006915003,6915003,40.5,59.8,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69150,006915002,6915002,25.7,37.8,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69150,006915001,6915001,66.0,97.0,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69123,006912302,6912302,68.2,103.9,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69123,006912303,6912303,69.1,101.0,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69123,006912304,6912304,66.8,101.1,0,0,Altus - Sparta Ct,7/25/2025
1SM0470-30G/ALTUS,D69123,006912305,6912305,66.9,101.5,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911712,6911712,45.2,77.1,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911701,6911701,43.0,70.0,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,906911702,6911702,49.0,73.0,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911703,6911703,38.0,60.0,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,906911704,6911704,10.0,15.1,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911705,6911705,46.8,75.8,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911706,6911706,44.3,74.7,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,906911707,6911707,21.9,34.2,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911708,6911708,27.2,44.5,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,906911709,6911709,19.2,31.0,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911710,6911710,25.8,43.2,0,0,Altus - Sparta Ct,7/25/2025
BK5425/1,D69117,006911711,6911711,43.9,74.6,0,0,Altus - Sparta Ct,7/25/2025
C1B3799-2/0,D69148,006914803,6914803,50.3,56.0,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914802,6914802,45.3,52.0,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914801,6914801,45.5,53.5,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914815,6914815,50.5,52.0,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914816,6914816,50.4,52.1,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914817,6914817,50.9,53.0,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914818,6914818,50.4,51.0,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914819,6914819,33.1,35.0,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914811,6914811,50.3,53.2,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914810,6914810,50.8,56.9,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914809,6914809,50.3,54.9,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914808,6914808,50.4,55.1,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914807,6914807,50.3,55.3,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914806,6914806,50.7,56.0,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914805,6914805,50.5,57.6,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914804,6914804,50.8,56.5,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914814,6914814,50.5,52.6,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914813,6914813,50.6,53.1,0,0,Altus - Plant 3,7/25/2025
C1B3799-2/0,D69148,006914812,6914812,50.5,53.2,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,006920501,6920501,43.5,62.2,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,006920502,6920502,43.4,61.1,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,006920503,6920503,40.4,58.8,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,006920504,6920504,41.8,59.5,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,906920505,6920505,37.4,50.6,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,006920506,6920506,43.2,57.2,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,006920507,6920507,43.2,57.5,0,0,Altus - Plant 3,7/25/2025
C1B4350-1/0,D69205,006920508,6920508,44.0,59.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69210,006921015,6921015,45.5,64.3,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917801,6917801,42.2,70.4,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917802,6917802,42.4,69.8,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917803,6917803,42.2,69.6,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917804,6917804,42.2,67.6,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917805,6917805,42.5,67.9,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917806,6917806,42.2,67.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917807,6917807,42.7,67.2,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917808,6917808,42.6,67.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917809,6917809,42.4,66.4,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917811,6917811,42.7,64.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917810,6917810,42.3,65.1,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917812,6917812,42.6,66.0,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917813,6917813,42.7,65.3,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917814,6917814,42.4,65.4,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69178,006917815,6917815,29.5,47.1,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917901,6917901,45.0,69.0,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917902,6917902,42.0,70.3,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917903,6917903,42.6,70.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917905,6917905,42.6,69.4,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917904,6917904,42.5,70.6,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917906,6917906,42.1,69.1,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917907,6917907,42.2,67.0,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917908,6917908,42.7,67.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917909,6917909,45.6,71.2,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917910,6917910,45.4,68.6,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917911,6917911,45.3,69.4,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917912,6917912,56.0,35.0,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,906917913,6917913,31.9,47.9,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,906917914,6917914,11.0,16.5,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917915,6917915,19.3,30.1,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,906917916,6917916,13.9,20.8,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69179,006917917,6917917,40.9,61.7,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69204,006920401,6920401,25.1,40.2,0,0,Altus - Plant 3,7/25/2025
C1B4571-1/0,D69204,906920402,6920402,17.7,27.3,0,0,Altus - Plant 3,7/25/2025
