Customer,SO #,Order #,Roll #,Qty (yds),Qty (lbs),Good Ea.,Bad Ea.,Received
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840919,31.0,19.6,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840917,30.0,19.3,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840938,30.0,19.3,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840913,31.0,19.7,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840908,30.0,18.8,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840907,22.0,13.8,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840906,31.0,19.6,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840905,31.0,19.5,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840903,30.0,19.1,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840902,30.0,19.0,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840939,28.0,17.8,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840933,30.0,19.0,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840932,31.0,19.6,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840918,29.0,18.5,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840916,30.0,19.1,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840915,30.0,19.0,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840914,31.0,19.6,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840912,29.0,18.5,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840909,30.0,18.9,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840904,31.0,19.4,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840911,28.0,17.7,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840901,27.0,17.0,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840940,23.0,14.4,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840937,31.0,19.5,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840936,31.0,19.7,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840935,30.0,19.0,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840934,25.0,15.8,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840930,26.0,16.8,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840929,31.0,19.4,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840931,31.0,19.4,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840910,29.0,18.3,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840928,29.0,18.4,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840927,23.0,14.5,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840926,30.0,19.3,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840925,28.0,17.7,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840924,23.0,14.5,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840923,33.0,20.7,0,0,7/21/2025
"CFAB - CREATIVE FABRIC SERVICE, LLC",S2507079,D68409,006840922,30.0,19.1,0,0,7/21/2025
